user_id,item_id
1,2833
1,1113
1,1490
1,904
1,1568
1,3022
1,2473
1,1052
1,1039
1,246
1,807
1,576
1,2364
1,1685
1,1751
1,2757
1,826
1,917
1,1686
1,1741
1,140
1,910
1,970
1,1130
1,2466
1,2431
1,1089
1,2580
1,507
1,2766
1,2460
1,911
1,565
1,2093
1,1345
1,503
1,566
1,560
1,1
1,2050
1,1993
1,704
1,1361
1,1633
1,48
2,1043
2,1055
2,1136
2,2605
2,1070
2,1039
2,300
2,2684
2,2523
2,1669
2,1052
2,564
2,2747
2,3077
2,1600
2,491
2,2193
2,2689
2,106
2,1788
2,2797
2,1090
2,2757
2,1190
2,1041
2,1681
2,1677
2,808
2,1566
2,1686
2,3080
2,1102
2,1678
2,1532
2,3064
2,3179
2,2958
2,2721
2,251
2,562
2,2724
2,1679
2,1939
2,867
2,1915
2,1970
2,1265
2,2889
2,969
2,988
2,1089
2,1339
2,1034
2,2091
2,337
2,561
2,1751
2,2257
2,433
2,1399
2,456
2,153
2,361
2,3031
2,330
2,1333
2,2048
2,1202
2,605
2,349
2,669
2,1725
2,1344
3,2523
3,1692
3,1685
3,1109
3,1210
3,1211
3,3261
3,562
3,246
3,1041
3,2536
3,1042
3,1043
3,2816
3,1055
3,1134
3,1888
3,456
3,1404
3,609
3,666
3,1729
3,2165
3,1836
3,929
3,527
3,2405
3,998
3,3034
3,1224
3,1147
3,952
3,1102
3,2050
3,3157
3,101
3,1802
4,796
4,807
4,1093
4,2523
4,2655
4,2439
4,2050
4,2571
4,2672
4,2279
4,2618
4,2029
4,2265
4,2015
4,2085
4,801
4,2393
4,2248
4,1321
4,2364
4,2090
4,2371
4,2033
4,2645
4,927
4,2735
4,279
4,564
4,576
4,1058
4,50
4,962
4,1038
4,2257
4,784
4,651
4,878
4,1988
4,166
4,1497
4,537
4,34
4,152
4,1431
4,41
4,1022
4,662
4,1990
4,1270
4,2812
4,1018
4,2901
4,32
4,1334
4,2894
4,29
4,968
4,1419
4,764
4,1501
4,2554
4,2019
4,1338
4,1518
4,1325
4,1612
4,1222
4,1399
4,1499
4,1496
4,485
4,329
4,491
4,1486
4,482
4,358
4,1370
4,1645
4,1624
4,2122
4,526
4,1752
5,2725
5,1729
5,800
5,925
5,3140
5,17
5,1264
5,1802
5,3288
5,1456
5,2471
5,2101
5,973
5,3107
5,961
5,1034
5,2091
5,544
5,1
5,2625
5,744
5,34
5,560
5,566
5,1470
5,345
5,48
5,1361
5,189
5,912
5,1212
5,917
5,3202
5,1671
5,802
5,910
5,349
5,364
5,252
5,2727
5,3179
5,3340
5,3142
5,3022
5,3221
5,3167
5,3306
5,808
5,1363
5,568
6,1113
6,456
6,418
6,1041
6,1066
6,605
6,1720
6,3340
6,1399
6,561
6,2257
6,433
6,106
6,1751
6,2578
6,6
6,666
6,450
6,1370
6,760
6,2048
6,361
6,1367
6,1491
6,2890
6,330
7,1055
7,107
7,796
7,3089
7,1367
7,456
7,561
7,1751
7,2899
7,2364
7,2578
7,2257
7,106
7,358
7,2122
7,530
7,2901
7,153
7,2759
7,1640
7,1370
7,2890
7,330
7,2370
7,271
7,25
7,1108
7,2091
7,251
7,17
7,1502
7,1223
7,1990
7,1421
7,2523
7,1058
7,279
7,503
7,576
7,1482
7,2025
7,1497
7,36
7,1284
7,16
7,2358
7,537
7,318
7,57
7,72
7,1455
7,985
7,1238
7,2880
7,2797
7,2137
7,1571
7,140
7,500
7,1460
7,2757
7,14
7,1190
7,1490
7,1464
7,2833
7,1435
7,607
7,239
7,1379
7,24
7,255
7,141
7,441
7,2893
7,1568
7,252
7,218
7,1479
7,3134
7,102
7,909
7,1117
7,1
7,671
8,3338
8,1685
8,800
8,1055
8,1066
8,503
8,564
8,1058
8,2523
8,50
8,1003
8,1150
8,2364
8,3022
8,3377
8,3220
8,2927
8,300
8,657
8,674
8,576
8,1751
8,1406
8,1482
8,1
8,2766
8,1068
8,962
8,2257
8,2431
8,433
8,152
8,25
8,2050
8,1108
8,2020
8,2797
8,47
8,1421
8,1312
8,2618
8,212
8,1647
8,2887
8,1887
8,1191
8,2889
8,1374
8,1284
8,1490
8,699
8,939
8,283
8,1527
8,2554
8,1464
8,878
8,1645
8,562
8,456
8,2000
8,1970
8,505
8,330
8,500
8,16
8,1435
8,1977
8,1993
9,568
9,1672
9,1055
9,1125
9,2009
9,3338
9,2804
9,2460
9,456
9,1344
